Wins_vs_Opponent,Team,Draws_vs_Opponent,Losses_vs_Opponent
1,Algeria,0,0
0,Angola,0,0
2,Argentina,1,1
1,Australia,0,0
2,Austria,0,0
1,Belgium,0,1
1,Bolivia,0,0
0,Bosnia and Herzegovina,0,0
0,Brazil,0,0
1,Bulgaria,0,0
2,Cameroon,0,1
0,Canada,0,0
4,Chile,1,0
1,China,0,0
1,Colombia,0,0
3,Costa Rica,0,0
2,Croatia,1,0
0,Cuba,0,0
0,Czech Republic,0,0
3,Czechoslovakia,2,0
1,Denmark,0,0
0,Dutch East Indies,0,0
1,East Germany,0,0
0,Ecuador,0,0
0,Egypt,0,0
0,El Salvador,0,0
3,England,1,0
1,France,1,2
1,Germany,0,1
1,Ghana,0,0
0,Greece,0,0
0,Haiti,0,0
0,Honduras,0,0
0,Hungary,0,2
0,Iceland,0,0
0,Iran,0,0
0,Iraq,0,0
0,Israel,0,0
3,Italy,1,2
1,Ivory Coast,0,0
0,Jamaica,0,0
1,Japan,0,0
0,Kuwait,0,0
4,Mexico,1,0
1,Morocco,0,0
2,Netherlands,1,3
1,New Zealand,0,0
0,Nigeria,0,0
1,North Korea,0,0
1,Northern Ireland,0,0
0,Norway,0,1
0,Panama,0,0
0,Paraguay,0,0
2,Peru,0,0
3,Poland,0,1
0,Portugal,1,1
0,Qatar,0,0
0,Republic of Ireland,0,0
1,Romania,0,0
1,Russia,0,0
0,Saudi Arabia,0,0
3,Scotland,1,0
0,Senegal,0,0
2,Serbia,0,0
0,Serbia and Montenegro,0,0
0,Slovakia,0,0
0,Slovenia,0,0
0,South Africa,0,0
1,South Korea,0,0
2,Soviet Union,0,0
3,Spain,1,1
5,Sweden,2,0
1,Switzerland,2,0
0,Togo,0,0
0,Trinidad and Tobago,0,0
0,Tunisia,0,0
2,Turkey,0,0
0,Ukraine,0,0
0,United Arab Emirates,0,0
1,United States,0,0
1,Uruguay,0,1
1,Wales,0,0
0,West Germany,0,0
1,Yugoslavia,2,1
1,Zaire,0,0
